#;Type;Reference;Primary title;Book title;Title unpublished reference;Notes;Keywords;Authors;Primary date;Publication year;Reprint status;Start page;End page;Periodical full name;Periodical standard abbreviation;Periodical in which article was published;Periodical name user abbreviation 1;Periodical name user abbreviation 2;Title secondary;Volume number;Issue number;City of publication;Publisher;User definable 1;User definable 5;Title series;abstract;ISSN/ISBN;Availability;Misc. 1;Misc. 2;Address;Web/URL;Link to PDF;Link to full-text;Related records;Images;doi
1;JOUR;;;"Land use scenarios for the development of a carbon-neutral energy supply – A case study from Southern Germany
";;"Export Date: 01 April 2026; Cited By: 8; Correspondence Address: S. Bosch; Department of Human Geography, University of Augsburg, Augsburg, Alter Postweg 118, 86159, Germany; email: stephan.bosch@geo.uni-augsburg.de
";"Carbon-neutrality; Climate protection; Energy transition; Land use conflicts; Regional planning; Renewable energies; Germany; alternative energy; carbon emission; climate change; land use conflict; power generation; regional planning";"Bosch, S.; Kienmoser, D.";;2024;;;;;;;;"Land Use Policy
";"Land Use Policy
";142;;;"Elsevier Ltd
";;;;"The Paris Agreement determined to limit global warming to below two degrees. National governments are now confronted with the challenge of taking action for climate protection. For Germany, this poses a major challenge, as the imminent phaseout of low-emission nuclear energy additionally increases the pressure to quickly advance the deployment of renewable energies. At the same time, their low energy density and the resulting high land requirements lead to severe conflicts in land use. The situation is aggravated by the fact that the diversity of societal actors leads to a diversity of energy strategies, which differ in terms of impacts on land use. We therefore want to analyse the impending restructuration of energy supply and the associated land use conflicts. We model potential scenarios of energy landscapes that can be derived from the two-degree target on the basis of Geographic Information Systems, by modifying the political guidelines and planning laws for the deployment of renewable energies. The analyses show that carbon-neutrality is attainable in principle. However, the spatial patterns of renewable energies differ considerably depending on the given legal framework. It also comes to show that land use policy must take greater account of the perspectives of those social groups that are confronted with the installation of renewable energies in the immediate vicinity of their own living environment. © 2024 The Authors
";"02648377 (ISSN)
";;;"Article
";"Department of Human Geography, University of Augsburg, Alter Postweg 118, Augsburg, 86159, Germany
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190336097&doi=10.1016%2Fj.landusepol.2024.107159&partnerID=40&md5=ff3ff2dd503d7ff41148a709c360e959
";;;;;"10.1016/j.landusepol.2024.107159
"
2;;;;"Analysis of barriers to the implementation of net-zero carbon cities in Iran
";;"Export Date: 01 April 2026; Cited By: 0; Correspondence Address: M. Roosta; Urban Planning & Design Department, Faculty of Art & Architecture, Shiraz University, Shiraz, Iran; email: m-roosta@shirazu.ac.ir
";"Barriers; Climate change; Iran; ISM; MICMAC; Net-zero carbon cities; Iran; Carbon; Developing countries; Fossil fuels; Hierarchical systems; Investments; Land use; Urban planning; Barrier; Expert survey; Interlinkages; Interpretive structural models; Iran; ISM; Literature reviews; MICMAC; Net-zero carbon city; Zero carbons; carbon emission; climate change; developing world; emission control; policy implementation; urban policy; Climate change";"Roosta, M.; Javadpoor, M.; Sharifi, A.";;2025;;;;;;;;"Energy Sustainable Dev.
";"Energy for Sustainable Development
";89;;;"Elsevier B.V.
";;;;"Developing countries, such as Iran, face barriers in their efforts to transition towards “net-zero carbon cities” (NZCCs), despite the importance of achieving this goal. It is crucial to examine these barriers. This study aims to identify and analyze the barriers to achieving NZCCs in Iran. After carefully reviewing the literature, an expert survey was conducted to identify barriers and their interlinkages. The literature review and interviews informed the selection of a list of barriers. Next, a survey was conducted to identify linkages between the barriers based on Interpretive Structural Modeling and MICMAC analysis. The results reveal that the “Lack of comprehensive policies” is the most important barrier to realizing NZCCs in Iran. Other important barriers in the hierarchical model are “Lack of public awareness”, “Lack of investment in energy technologies”, “Inappropriate land use pattern”, “Low price of fossil fuels”, and “ Limited active transport infrastructure”. Based on the MICMAC analysis, the study also identifies clusters of driving or dependence power levels among the barriers. The findings of this research can help urban planners and policymakers build strategies to reduce barriers to achieving the vision of NZCCs and promote climate-resilient urban areas in Iran. © 2025 International Energy Initiative
";"09730826 (ISSN)
";;;"Article
";"The IDEC Institute and Network for Education and Research on Peace and Sustainability (NERPS), Hiroshima University, 1-5-1 Kagamiyama, Higashi-Hiroshima City, Hiroshima, 739-8529, Japan
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017849322&doi=10.1016%2Fj.esd.2025.101855&partnerID=40&md5=01c13c64691fb8dc34411ebbf1fddc17
";;;;;"10.1016/j.esd.2025.101855
"
3;;;;"Can forests realize the carbon neutrality dream? Evidence from a global sample
";;"Export Date: 01 April 2026; Cited By: 10; Correspondence Address: A. Jahanger; School of Economics, Hainan University, Haikou City, Hainan, 570228, China; email: atif_jahanger@hotmail.com; CODEN: JEVMA
";"CO2 emissions; Dynamic panel quantile threshold; Economic growth; Energy efficiency; Forest extent; Carbon Dioxide; Climate Change; Conservation of Natural Resources; Forests; Carbon dioxide; Climate change; Economics; Energy utilization; Forestry; Renewable energy; Urban growth; carbon dioxide; carbon dioxide; Alternative solutions; CO 2 emission; CO2 emissions; Dynamic panel quantile threshold; Dynamic panels; Economic growths; Environmental improvements; Forest extent; Global climate changes; Per capita; alternative energy; carbon dioxide; climate change; energy efficiency; energy use; global climate; urban growth; urban population; Article; carbon dioxide emission; carbon neutrality; climate change; economic development; energy consumption; energy resource; forest; global climate; atural resource; onhuman; renewable energy; urban population; climate change; environmental protection; Energy efficiency";"Kocoglu, M.; Nghiem, X.-H.; Barak, D.; Bruna, K.; Jahanger, A.";;2024;;;;;;;;"J. Environ. Manage.
";"Journal of Environmental Management
";366;;;"Academic Press
";;;;"The enlarge in economic activities and the urban population at the global level has brought about an increase in the demand for energy, food, and natural resources, as well as an exacerbation in global climate change concerns. In this respect, it is important to ensure the balance between global climate change and global economic activities. Therefore, a wide literature has emerged that searches for alternative solutions to improve climate change and carbon dioxide (CO2) emissions. The majority of existing studies emphasize the importance of renewable energy sources in environmental improvement efforts. Few studies highlight the importance of forestation in environmental improvement efforts, highlighting the non-linear effects of forestation. To fill this gap, this study uses panel data from 181 countries between 1990 and 2022 and evaluates the non-linear impact of economic growth, forest extent, energy efficiency, and urban growth on per capita CO2 emissions using a dynamic panel threshold and dynamic panel quantile threshold methods. Furthermore, we extend the model and conduct robustness tests examining the non-linear threshold effects of renewable and non-renewable energy consumption on per capita CO2 emissions. Our findings provide pieces of evidence that forest extents are an alternative solution to renewable energy use and energy efficiency in environmental improvement efforts. © 2024 Elsevier Ltd
";"03014797 (ISSN)
";;;"Article
";"Institute of Open Economy, Hainan University, Hainan province, Haikou, 570228, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198275109&doi=10.1016%2Fj.jenvman.2024.121827&partnerID=40&md5=3543c2e4d9e9f665eafe77644a5df688
";;;;;"10.1016/j.jenvman.2024.121827
"
4;;;;"Dynamic correlation analysis of sectoral electricity consumption and urban carbon concentration using machine learning models
";;"Export Date: 01 April 2026; Cited By: 1; Correspondence Address: H. Zhang; Power Internet of Things Key Laboratory of Sichuan Province, State Grid Sichuan Electric Power Research Institute, Chengdu, 610095, China; email: zhanghan9743@163.com
";"Carbon column concentration; Electricity consumption; Machine learning; Pollution reduction and carbon mitigation; Time rolling correlation; carbon; carbon dioxide; article; carbon dioxide emission; carbon emission; carbon neutrality; climate change; controlled study; correlation analysis; electricity; global climate; greenhouse effect; human; machine learning; mitigation; prediction; random forest; root mean squared error";"Teng, Y.; Zhang, H.; Zhan, Y.; Liu, X.; Chang, Z.; Chen, Y.; Liu, H.";;2025;;;;;;;;"Sci. Rep.
";"Scientific Reports
";15;1;;"Nature Research
";;;;"Global climate change is one of the major environmental challenges faced today, and carbon dioxide (CO2) emissions is the primary cause of global warming. Although many countries have committed to reducing carbon emissions and achieving carbon neutrality, progress in reducing emissions across various industries remains uncertain. To address this issue, this study employs advanced machine learning methods such as random forest, extreme gradient boosting (XGBoost), and stacked regression to construct a dynamic correlation model for exploring the relationship between sectoral electricity consumption and urban average CO2 column concentration (XCO2). By combining time-rolling window techniques, the model dynamically reveals temporal correlations between sector-specific electricity consumption and urban XCO2. The performance of the dynamic correlation model was validated with sectoral electricity consumption and urban XCO2 data from 16 cities between 2017 and 2021. The model achieved a coefficient of determination (R2) of up to 0.864 and an root mean square error (RMSE) of 1.350. The study revealed that the model significantly outperformed the traditional random forest and XGBoost models in terms of prediction accuracy, effectively capturing the complex relationship between sectoral electricity consumption and carbon concentration. The correlation between electricity consumption in different industries and XCO2 exhibited significant temporal fluctuations across cities. Through time-rolling analysis, the study revealed sector-specific influences, providing valuable insights for developing more precise and industry-targeted carbon reduction policies. © The Author(s) 2025.
";"20452322 (ISSN)
";;;"Article
";"College of Carbon Neutrality Future Technology, Sichuan University, Chengdu, 610065, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000612588&doi=10.1038%2Fs41598-025-94201-z&partnerID=40&md5=4536aa3f77d2b576d3aa148bf2daeae5
";;;;;"10.1038/s41598-025-94201-z
"
5;;;;"The path to 2060: Saudi Arabia's long-term pathway for GHG emission reduction
";;"Export Date: 01 April 2026; Cited By: 23; Correspondence Address: P. Kamboj; King Abdullah Petroleum Studies and Research Center (KAPSARC), Riyadh, Saudi Arabia; email: puneet.kamboj@kapsarc.org
";"Climate change; GCAM-KSA; GHG emissions; Net zero; Saudi Arabia; Scenario analysis; Carbon capture and utilization; Greenhouse gas emissions; Climate policy; Comprehensive analysis; Emission reduction; GCAM-KSA; GHG emission; GHGs emissions; Greenhouse gas emissions; Net zero; Saudi Arabia; Scenarios analysis; Low emission";"Kamboj, P.; Hejazi, M.; Qiu, Y.; Kyle, P.; Iyer, G.";;2024;;;;;;;;"Energy Strateg. Rev.
";"Energy Strategy Reviews
";55;;;"Elsevier Ltd
";;;;"Saudi Arabia, as part of its Saudi Green Initiative, has announced its goal to achieve net zero green-house gas emissions by 2060. This ambitious target underscores the nation's dedication to addressing climate change. However, there is a significant gap in comprehensive analysis regarding the long-term effects of Saudi Arabia's climate policies and their collective contribution towards the net-zero objective. This study endeavors to bridge this gap through a detailed examination using the GCAM-KSA, a specialized version of the Global Change Analysis Model tailored for Saudi Arabia, employing a multi-sectoral methodology that integrates economic, energy, and land use systems within a coherent framework to assess the impact of climate policies on GHG emissions. Our analysis reveals that reaching net-zero GHG emissions by 2060 is a complex challenge requiring concerted efforts across all sectors of the economy. While transitioning to low-carbon electricity and improving energy efficiency offer considerable emission reductions, fully decarbonizing the industrial and transportation sectors poses a significant hurdle. Our findings suggest that Saudi Arabia must triple its emission reduction commitments in its next Nationally Determined Contributions (NDCs) update to align with its 2060 net-zero goal. Early action and increased ambition could avoid the chances of getting locked into the high emission assets and give enough time to transform the energy system. Furthermore, the adoption and integration of Carbon Dioxide Removal (CDR) technologies are identified as crucial for offsetting residual emissions, especially in sectors that might continue to rely on fossil fuels. © 2024 The Authors
";"2211467X (ISSN)
";;;"Article
";"Pacific Northwest National Laboratory, College Park, MD, United States
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204299766&doi=10.1016%2Fj.esr.2024.101537&partnerID=40&md5=f2c52153aa3e7f7c436a36c624bfde4e
";;;;;"10.1016/j.esr.2024.101537
"
6;;;;"Race to carbon neutrality in South Africa: What role does environmental technological innovation play?
";;"Export Date: 01 April 2026; Cited By: 158; Correspondence Address: F.V. Bekun; Faculty of Economics Administrative and Social sciences, Istanbul Gelisim University, Istanbul, Turkey; email: fbekun@gelisim.edu.tr; CODEN: APEND
";"Carbon neutrality; Carbon-reduction: econometrics; EKC; Environmental sustainability; SDGs-13; South Africa; Sustainable development; South Africa; Agriculture; Carbon; Economic analysis; Economic and social effects; Energy policy; Energy utilization; Environmental protection; Fossil fuels; Sustainable development; Auto-regressive; Carbon neutralities; Carbon reduction; Carbon-reduction: econometric; Economic growths; Environmental Kuznet's curve; Environmental sustainability; SDG-13; South Africa; Technological innovation; alternative energy; climate change; economic growth; emission control; fossil fuel; innovation; sustainable development; trade-off; Climate change";Bekun, F.V.;;2024;;;;;;;;"Appl. Energy
";"Applied Energy
";354;;;"Elsevier Ltd
";;;;"Governments worldwide have prioritized carbon reduction and neutrality to address the escalating threat of climate change. These goals are in line with the United Nations Sustainable Development Goals (UNSDG-13). These goals stress taking action on climate change to lessen the bad effects of human activities and using fossil fuels for energy. To this end, the present study investigates the connection between conventional energy usage, agricultural practices, economic growth, and their impact on environmental sustainability in South Africa. Additionally, it explores the role of renewable energy consumption and environmental technological innovation in mitigating these effects. To achieve the study objectives, a carbon-income function is fitted with an annual frequency data from 1975 to 2020. The present study leverages on Pesaran's Autoregressive distributed lag (ARDL) method and for robustness analysis the dynamic ARDL simulations method to simultaneously explore the short and long-run coefficients of the study's outlined variables. Empirical analysis, confirmed by bounds testing for cointegration, reveals a long-term equilibrium relationship among the variables considered. Notably, economic growth, fossil fuel energy consumption, and agricultural activities have adverse effects on environmental sustainability in South Africa, indicating a trade-off between economic growth and environmental quality. Dynamic ARDL simulations provide further evidence of an Environmental Kuznets Curve (EKC) phenomenon. However, renewable energy consumption and environmental technological innovation positively influence environmental quality. These findings highlight the imperative for South Africa and its stakeholders to adopt green growth policies and transition to cleaner energy alternatives. © 2023 Elsevier Ltd
";"03062619 (ISSN)
";;;"Article
";"Adnan Kassar School of Business, Department of Economics, Lebanese American University, Beirut, Lebanon
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175695944&doi=10.1016%2Fj.apenergy.2023.122212&partnerID=40&md5=be055aef6501c803742ddfa4b2b104e4
";;;;;"10.1016/j.apenergy.2023.122212
"
7;;;;"Toward Carbon Neutrality: Systematic Approach to Decarbonize Palm Oil Value Chain
";;"Export Date: 01 April 2026; Cited By: 5; Correspondence Address: D.K.S. Ng; School of Engineering and Technology, Sunway University, Selangor, 47500, Malaysia; email: dennyng@sunway.edu.my; CODEN: IECRE
";"Carbon footprint; Economic analysis; Effluents; Emission control; Greenhouse gases; Integer programming; Milling (machining); Nonlinear programming; Refining; Renewable energy; Biorefineries; Carbon neutralities; Economic performance; Large-scales; Low carbon economy; Malaysia; Oil palm plantations; Oil refineries; Palm oil mills; Value chains; Palm oil";"Tan, Q.T.; Rajakal, J.P.; Lim, C.H.; Hassim, M.H.; Ng, D.K.S.";;2024;;1903;1925;;;;;"Ind. Eng. Chem. Res.
";"Industrial and Engineering Chemistry Research
";63;4;;"American Chemical Society
";;;;"Sector-specific strategies are needed to transition toward a low-carbon economy. Palm oil is a large-scale agriculture commodity in Malaysia, with a considerable carbon footprint. Therefore, decarbonization of the palm oil sector is crucial, accounting for emissions and mitigation opportunities along the entire value chain. Though several of the previous works have optimized the palm oil value chain (POVC), there exists a significant gap in the comprehensive evaluation of strategies to decarbonize the POVC. To address this gap, this work proposes a systematic approach to design an optimal POVC with minimum GHG emissions. This study considers integrated oil palm plantations (OPPs), integrated palm oil mills (POMs), and palm oil refineries (PORs) within the POVC boundary. An integrated OPP refers to plantation with an onsite biorefinery, while an integrated POM includes the milling process, biorefinery, palm oil mill effluent (POME) treatment, and biogas upgradation. A mathematical optimization (mixed integer nonlinear programming, MINLP) model was developed to determine the optimal process design and pathway selection along the POVC. The proposed model is illustrated with a case study of POVC in Johor, Malaysia that includes 15 OPPs, 5 POMs, and 1 POR. The optimization was performed under two scenarios_maximizing economic performance (S1) and maximizing GHG savings (S2). The results of this study show a significant improvement in the annual economic performance from USD 85 million in the existing baseline scenario to USD 167 million in S1. Furthermore, the study demonstrates that optimal technology and pathway selection can result in significant GHG savings up to 6.04 tCO2/ha at OPPs and 0.62 tCO2/t FFB at POMs, respectively. © 2024 American Chemical Society.
";"08885885 (ISSN)
";;;"Article
";"Safety and Health Research Group, Universiti Teknologi Malaysia, Johor Bahru, 81310, Malaysia
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183984097&doi=10.1021%2Facs.iecr.3c02405&partnerID=40&md5=2ddfc714e67362f037ec04d81e3b3bb4
";;;;;"10.1021/acs.iecr.3c02405
"
8;;;;"Strategic mapping of agroclimate vulnerability and carbon emissions for India’s net zero transition
";;"Export Date: 01 April 2026; Cited By: 0; Correspondence Address: S. Angles; Department of Agricultural Economics, Agricultural College and Research Institute, Vazhavachanur, Tiruvannamalai, Tamil Nadu, 606 753, India; email: angles.s@tnau.ac.in
";"agriculture; carbon emissions; CVI; India; regional prioritization matrix";"Priiyha, M.P.; Angles, S.; Senthilnadhan, S.; Thirunavukkarasu, M.; Ravikumar, R.";;2025;;1;12;;;;;"Plant Sci. Today
";"Plant Science Today
";12;;;"Horizon e-Publishing Group
";;;;"India’s dual challenge of achieving net zero emissions by 2070 while enhancing climate resilience demands integrated policy tailored regional contexts. This study presents a novel framework that simultaneously evaluates agroclimatic vulnerability and sector specific carbon emissions at the state level to present targeted climate action. We constructed Climate Vulnerability Index (CVI) by normalizing nine indicators across biophysical dimensions, socioeconomic factors and institutional capacities using Principal Component Analysis (PCA) on state level data (2011–2023) a period marked by multiple climate policy reforms and agricultural transitions in India. PCA was initially applied to assign indicator weights, but due to limited variance among components, equal weighting was adopted to maintain robustness and transparency. Concurrently, we quantified carbon emissions across primary, secondary and tertiary sectors using standardized national datasets. Due to the lack of a centralized, sector disaggregated emissions database, estimates are indicative rather than exhaustive. Now by overlaying CVI scores with sectoral emissions, we developed a regional prioritization matrix that classifies states into four categories for policy interventions. Our findings reveal significant interstate disparities with CVI scores ranging from 0.421 (Sikkim) to 0.782 (Manipur). Analysis of emission patterns across sectors indicates that tertiary sector contributes the largest share of national emissions (~42 %), followed by secondary (~30 %) and primary (~28 %) sectors. Contrary to typical national patterns where primary and secondary sectors (e.g., agriculture, manufacturing and energy) are dominant emitters, our analysis suggests that tertiary sector emissions appear more prominent, though these are primarily indirect emissions. Based on these insights, we recommend tailored interventions that include scaling up climate smart agriculture and enhancing financial inclusion in high vulnerability states. In regions identified as emissions hotspots, focus on precision farming and water efficient technologies. For low vulnerability regions, conservation agriculture and agroforestry can play a key role. This framework offers data driven study for designing region specific strategies that simultaneously support India’s decarbonization efforts and strengthen agricultural resilience, thereby ensuring inclusive pathway to achieve net zero emissions. © The Author(s). This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution and reproduction in any medium, provided the original author and source are credited (https://creativecommons.org/licenses/by/4.0/)
";"23481900 (ISSN)
";;;"Article
";"Agroclimatic Research Centre (ACRC), Tamil Nadu Agricultural University, Tamil Nadu, Coimbatore, 641 003, India
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022936240&doi=10.14719%2Fpst.9043&partnerID=40&md5=dbaed71c880d7c168bf027e4beded16e
";;;;;"10.14719/pst.9043
"
9;;;;"Carbon transfer characteristics and its effect on carbon neutrality of China's inter-regional trade
";;"Export Date: 01 April 2026; Cited By: 1; Correspondence Address: L. He; School of Water Conservancy and Hydropower Engineering, North China Electric Power University, Beijing, 102206, China; email: helix111@tju.edu.cn
";"carbon ecological carrying capacity; carbon footprint; carbon neutrality; MRIO model; Beijing [China]; China; Fujian; Guangdong; Heilongjiang; Henan; Jiangsu; Jilin; Liaoning; Nei Monggol; Ningxia Huizu; Shandong; Shanghai; Shanxi; Tianjin; Zhejiang; carbon emission; carbon footprint; carrying capacity; ecological footprint; emissions trading; global climate; global warming; greenhouse gas; Gross Domestic Product; regional trade; trade-environment relations";"Zhang, K.; He, L.; Lu, H.";;2023;;3407;3416;;;;;"Shengtai Xuebao
";"Shengtai Xuebao
";43;9;;"Science Press
";;;;"Human activities lead to global climate change, such as the greenhouse effect, heat island effect, global warming, glacier melting, sea-level rise, and so on. Among them, the global warming caused by the increase of greenhouse gas emissions has a great impact on human production and life. To control greenhouse gas emissions, many countries are exploring various ways to reduce carbon emissions, and hope to achieve the goal of ""carbon neutrality"" in the planned time. China is also one of them, our country has formulated a medium-and long-term plan to achieve carbon neutrality and is exploring ways to achieve this goal, such as adjusting the industrial and energy consumption structure, and changing the way of production and life. With the development of China's economy, regional trade interactions are frequent, and reducing carbon emissions through optimizing trade patterns should not be ignored. However, such studies are relatively few at present, and the carbon-neutral characteristics of trade in each province are not clear yet. This paper, based on the multi-regional input-output model, carbon-neutral model, and carbon ecological footprint model, analyzed the spatial distribution of carbon footprint, carbon transfer characteristics, and carbon ecological carrying capacity surplus of 30 Chinese provinces in 2017. Our results show that (1) provinces with larger populations or richer economies have larger carbon footprints, such as Guangdong, Jiangsu, and Henan, while in the provinces of western and northeastern China, the carbon footprints of 10000 yuan GDP are relatively larger. Virtual carbon is mainly transferred to economically affluent provinces. (2) For different provinces and sectors, the carbon-neutral characteristics of trade vary considerably. For the provinces, the trade reduced the carbon footprint in Shanxi, Inner Mongolia, Liaoning, Ningxia, and Xingjiang, but the degree of carbon neutrality is relatively low (< 20%). As far as the sectors are concerned, the carbon-neutral feature of the construction sector is the most obvious, especially in the northeastern. (3) There are significant differences in the surplus of carbon ecological carrying capacity among provinces. Specifically, the regions with larger carbon ecological carrying capacity surplus are mainly distributed in the agricultural developed provinces, such as Heilongjiang, Henan, Jilin, Shandong, and so on (>10x 108 t), while Beijing, Tianjin, Shanghai, Zhejiang, Fujian, and Guangdong are in deficit. In the future, when formulating relevant policies, we should comprehensively consider the characteristics of inter-provincial carbon transfer, reasonably allocate carbon emission quota, and ensure the smooth operation of the carbon emission trading market. © 2023 Science Press. All rights reserved.
";"10000933 (ISSN)
";;;"Article
";"Key Laboratory of Water Cycle and Related Land Surface Processes, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, 100101, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164507511&doi=10.5846%2Fstxb202108082170&partnerID=40&md5=310c838e112e6b4c293d8a5ae593d7e6
";;;;;"10.5846/stxb202108082170
"
10;;;;"The role of hydrogen in a net-zero emission economy under alternative policy scenarios
";;"Export Date: 01 April 2026; Cited By: 83; Correspondence Address: H. Kouchaki-Penchah; École de technologie supérieure, Department of Construction Engineering, Montreal, 1100 Notre-Dame St. West, H3C 1K3, Canada; email: hamed.kouchaki-penchah.1@ens.etsmtl.ca; CODEN: IJHED
";"Energy system decarbonization; Hydrogen; Net-zero emission; TIMES model; Aquifers; Decarbonization; Economic and social effects; Forestry; Fossil fuels; Free energy; Greenhouse gases; Hydrogen fuels; Hydrogen storage; Hydrogenation; Hydrogeology; Industrial emissions; Solar power generation; Air captures; Decarbonisation; Energy system decarbonization; Energy systems; Energy transitions; Hydrogen pathway; Net-zero emission; Policy scenario; TIMES model; Zero emission; Carbon dioxide";"Kouchaki-Penchah, H.; Bahn, O.; Bashiri, H.; Bedard, S.; Bernier, E.; Elliot, T.; Hammache, A.; Vaillancourt, K.; Levasseur, A.";;2024;;173;187;;;;;"Int J Hydrogen Energy
";"International Journal of Hydrogen Energy
";49;;;"Elsevier Ltd
";;;;"Low emission and green hydrogen as a carbon-free energy carrier has attracted worldwide attention in decarbonizing the energy system and meeting the Paris agreement target of limiting warming to 2 °C or below. This study investigates the contribution of different hydrogen pathways to the energy transition and sheds light on adopting different decarbonization scenarios for Quebec, Canada, while including biogenic emissions from forest-based biomass consumption. We assess various alternative policy scenarios using a TIMES model for North America (NATEM), a bottom-up techno-economic approach. This study examines the role of various hydrogen pathways in Quebec's energy transition by considering different net-zero policy scenarios and an additional set of “green” scenarios, which prohibit the use of fossil fuel-based hydrogen. The results show that varying the penetration of hydrogen provides a key trade-off between reliance on direct air capture, reliance on carbon storage, reliance on wind and solar buildout, the inter-sector allocation of residual emissions, and the overall cost of achieving emission targets. In particular, the use of hydrogen in the industrial sector, a sector known to be difficult to decarbonize, reduces industrial emissions and reliance on direct air capture (DAC). Clustering industrial plants to use captured CO2 as a feedstock for synthetic fuel production may not reduce industrial GHG emissions by 2050, but it offers the opportunity to use captured CO2 instead of sequestering it in deep saline aquifers. Even though increasing industrial green hydrogen penetration increases marginal GHG abatement costs in the green net-zero scenario by 2050, it further minimizes industrial GHG emissions and the need for DAC among all net-zero scenarios by 2050. Hydrogen plays a significant role in achieving ambitious net-zero emission target, especially where electrification is not feasible, or electricitystorage is required. © 2023
";"03603199 (ISSN)
";;;"Article
";"ESMIA Consultants, Blainville, Canada
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167815390&doi=10.1016%2Fj.ijhydene.2023.07.196&partnerID=40&md5=4fa6d841ed6430740a0de77aef1d9af3
";;;;;"10.1016/j.ijhydene.2023.07.196
"
