Article ID;Title;Author;Publication year;Title secondary;URL;DOI;Abstract;Criteria for exclusion;;;;"Comment: Explicitly assesses&nbsp; climate neutrality target ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment: Explicitly assesses at least one&nbsp; region ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment: Explicitly assesses at least one&nbsp; sector ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment:  Modelling&nbsp; or&nbsp; scenario process&nbsp; are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz
2;"Analysis of barriers to the implementation of net-zero carbon cities in Iran
";"Roosta, M.; Javadpoor, M.; Sharifi, A.";2025;"Energy for Sustainable Development
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017849322&doi=10.1016%2Fj.esd.2025.101855&partnerID=40&md5=01c13c64691fb8dc34411ebbf1fddc17
";"10.1016/j.esd.2025.101855
";"Developing countries, such as Iran, face barriers in their efforts to transition towards “net-zero carbon cities” (NZCCs), despite the importance of achieving this goal. It is crucial to examine these barriers. This study aims to identify and analyze the barriers to achieving NZCCs in Iran. After carefully reviewing the literature, an expert survey was conducted to identify barriers and their interlinkages. The literature review and interviews informed the selection of a list of barriers. Next, a survey was conducted to identify linkages between the barriers based on Interpretive Structural Modeling and MICMAC analysis. The results reveal that the “Lack of comprehensive policies” is the most important barrier to realizing NZCCs in Iran. Other important barriers in the hierarchical model are “Lack of public awareness”, “Lack of investment in energy technologies”, “Inappropriate land use pattern”, “Low price of fossil fuels”, and “ Limited active transport infrastructure”. Based on the MICMAC analysis, the study also identifies clusters of driving or dependence power levels among the barriers. The findings of this research can help urban planners and policymakers build strategies to reduce barriers to achieving the vision of NZCCs and promote climate-resilient urban areas in Iran. © 2025 International Energy Initiative
";"Explicitly assesses  climate neutrality target ?  (Population); ";;"Explicitly assesses at least one  sector ?  (Population); ";" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Conducts policy analysis using qualitative modeling;;;;;;;;;;;;;;;;;
3;"Can forests realize the carbon neutrality dream? Evidence from a global sample
";"Kocoglu, M.; Nghiem, X.-H.; Barak, D.; Bruna, K.; Jahanger, A.";2024;"Journal of Environmental Management
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198275109&doi=10.1016%2Fj.jenvman.2024.121827&partnerID=40&md5=3543c2e4d9e9f665eafe77644a5df688
";"10.1016/j.jenvman.2024.121827
";"The enlarge in economic activities and the urban population at the global level has brought about an increase in the demand for energy, food, and natural resources, as well as an exacerbation in global climate change concerns. In this respect, it is important to ensure the balance between global climate change and global economic activities. Therefore, a wide literature has emerged that searches for alternative solutions to improve climate change and carbon dioxide (CO2) emissions. The majority of existing studies emphasize the importance of renewable energy sources in environmental improvement efforts. Few studies highlight the importance of forestation in environmental improvement efforts, highlighting the non-linear effects of forestation. To fill this gap, this study uses panel data from 181 countries between 1990 and 2022 and evaluates the non-linear impact of economic growth, forest extent, energy efficiency, and urban growth on per capita CO2 emissions using a dynamic panel threshold and dynamic panel quantile threshold methods. Furthermore, we extend the model and conduct robustness tests examining the non-linear threshold effects of renewable and non-renewable energy consumption on per capita CO2 emissions. Our findings provide pieces of evidence that forest extents are an alternative solution to renewable energy use and energy efficiency in environmental improvement efforts. © 2024 Elsevier Ltd
";"Explicitly assesses  climate neutrality target ?  (Population); ";"Explicitly assesses at least one  region ?  (Population); ";;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;I think it is clear that they do not design a pathway to climate neutrality.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Dynamic correlation analysis of sectoral electricity consumption and urban carbon concentration using machine learning models
";"Teng, Y.; Zhang, H.; Zhan, Y.; Liu, X.; Chang, Z.; Chen, Y.; Liu, H.";2025;"Scientific Reports
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000612588&doi=10.1038%2Fs41598-025-94201-z&partnerID=40&md5=4536aa3f77d2b576d3aa148bf2daeae5
";"10.1038/s41598-025-94201-z
";"Global climate change is one of the major environmental challenges faced today, and carbon dioxide (CO2) emissions is the primary cause of global warming. Although many countries have committed to reducing carbon emissions and achieving carbon neutrality, progress in reducing emissions across various industries remains uncertain. To address this issue, this study employs advanced machine learning methods such as random forest, extreme gradient boosting (XGBoost), and stacked regression to construct a dynamic correlation model for exploring the relationship between sectoral electricity consumption and urban average CO2 column concentration (XCO2). By combining time-rolling window techniques, the model dynamically reveals temporal correlations between sector-specific electricity consumption and urban XCO2. The performance of the dynamic correlation model was validated with sectoral electricity consumption and urban XCO2 data from 16 cities between 2017 and 2021. The model achieved a coefficient of determination (R2) of up to 0.864 and an root mean square error (RMSE) of 1.350. The study revealed that the model significantly outperformed the traditional random forest and XGBoost models in terms of prediction accuracy, effectively capturing the complex relationship between sectoral electricity consumption and carbon concentration. The correlation between electricity consumption in different industries and XCO2 exhibited significant temporal fluctuations across cities. Through time-rolling analysis, the study revealed sector-specific influences, providing valuable insights for developing more precise and industry-targeted carbon reduction policies. © The Author(s) 2025.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;"Race to carbon neutrality in South Africa: What role does environmental technological innovation play?
";Bekun, F.V.;2024;"Applied Energy
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175695944&doi=10.1016%2Fj.apenergy.2023.122212&partnerID=40&md5=be055aef6501c803742ddfa4b2b104e4
";"10.1016/j.apenergy.2023.122212
";"Governments worldwide have prioritized carbon reduction and neutrality to address the escalating threat of climate change. These goals are in line with the United Nations Sustainable Development Goals (UNSDG-13). These goals stress taking action on climate change to lessen the bad effects of human activities and using fossil fuels for energy. To this end, the present study investigates the connection between conventional energy usage, agricultural practices, economic growth, and their impact on environmental sustainability in South Africa. Additionally, it explores the role of renewable energy consumption and environmental technological innovation in mitigating these effects. To achieve the study objectives, a carbon-income function is fitted with an annual frequency data from 1975 to 2020. The present study leverages on Pesaran's Autoregressive distributed lag (ARDL) method and for robustness analysis the dynamic ARDL simulations method to simultaneously explore the short and long-run coefficients of the study's outlined variables. Empirical analysis, confirmed by bounds testing for cointegration, reveals a long-term equilibrium relationship among the variables considered. Notably, economic growth, fossil fuel energy consumption, and agricultural activities have adverse effects on environmental sustainability in South Africa, indicating a trade-off between economic growth and environmental quality. Dynamic ARDL simulations provide further evidence of an Environmental Kuznets Curve (EKC) phenomenon. However, renewable energy consumption and environmental technological innovation positively influence environmental quality. These findings highlight the imperative for South Africa and its stakeholders to adopt green growth policies and transition to cleaner energy alternatives. © 2023 Elsevier Ltd
";"Explicitly assesses  climate neutrality target ?  (Population); ";;"Explicitly assesses at least one  sector ?  (Population); ";" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Toward Carbon Neutrality: Systematic Approach to Decarbonize Palm Oil Value Chain
";"Tan, Q.T.; Rajakal, J.P.; Lim, C.H.; Hassim, M.H.; Ng, D.K.S.";2024;"Industrial and Engineering Chemistry Research
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183984097&doi=10.1021%2Facs.iecr.3c02405&partnerID=40&md5=2ddfc714e67362f037ec04d81e3b3bb4
";"10.1021/acs.iecr.3c02405
";"Sector-specific strategies are needed to transition toward a low-carbon economy. Palm oil is a large-scale agriculture commodity in Malaysia, with a considerable carbon footprint. Therefore, decarbonization of the palm oil sector is crucial, accounting for emissions and mitigation opportunities along the entire value chain. Though several of the previous works have optimized the palm oil value chain (POVC), there exists a significant gap in the comprehensive evaluation of strategies to decarbonize the POVC. To address this gap, this work proposes a systematic approach to design an optimal POVC with minimum GHG emissions. This study considers integrated oil palm plantations (OPPs), integrated palm oil mills (POMs), and palm oil refineries (PORs) within the POVC boundary. An integrated OPP refers to plantation with an onsite biorefinery, while an integrated POM includes the milling process, biorefinery, palm oil mill effluent (POME) treatment, and biogas upgradation. A mathematical optimization (mixed integer nonlinear programming, MINLP) model was developed to determine the optimal process design and pathway selection along the POVC. The proposed model is illustrated with a case study of POVC in Johor, Malaysia that includes 15 OPPs, 5 POMs, and 1 POR. The optimization was performed under two scenarios─maximizing economic performance (S1) and maximizing GHG savings (S2). The results of this study show a significant improvement in the annual economic performance from USD 85 million in the existing baseline scenario to USD 167 million in S1. Furthermore, the study demonstrates that optimal technology and pathway selection can result in significant GHG savings up to 6.04 tCO2/ha at OPPs and 0.62 tCO2/t FFB at POMs, respectively. © 2024 American Chemical Society.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"Strategic mapping of agroclimate vulnerability and carbon emissions for India’s net zero transition
";"Priiyha, M.P.; Angles, S.; Senthilnadhan, S.; Thirunavukkarasu, M.; Ravikumar, R.";2025;"Plant Science Today
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022936240&doi=10.14719%2Fpst.9043&partnerID=40&md5=dbaed71c880d7c168bf027e4beded16e
";"10.14719/pst.9043
";"India’s dual challenge of achieving net zero emissions by 2070 while enhancing climate resilience demands integrated policy tailored regional contexts. This study presents a novel framework that simultaneously evaluates agroclimatic vulnerability and sector specific carbon emissions at the state level to present targeted climate action. We constructed Climate Vulnerability Index (CVI) by normalizing nine indicators across biophysical dimensions, socioeconomic factors and institutional capacities using Principal Component Analysis (PCA) on state level data (2011–2023) a period marked by multiple climate policy reforms and agricultural transitions in India. PCA was initially applied to assign indicator weights, but due to limited variance among components, equal weighting was adopted to maintain robustness and transparency. Concurrently, we quantified carbon emissions across primary, secondary and tertiary sectors using standardized national datasets. Due to the lack of a centralized, sector disaggregated emissions database, estimates are indicative rather than exhaustive. Now by overlaying CVI scores with sectoral emissions, we developed a regional prioritization matrix that classifies states into four categories for policy interventions. Our findings reveal significant interstate disparities with CVI scores ranging from 0.421 (Sikkim) to 0.782 (Manipur). Analysis of emission patterns across sectors indicates that tertiary sector contributes the largest share of national emissions (~42 %), followed by secondary (~30 %) and primary (~28 %) sectors. Contrary to typical national patterns where primary and secondary sectors (e.g., agriculture, manufacturing and energy) are dominant emitters, our analysis suggests that tertiary sector emissions appear more prominent, though these are primarily indirect emissions. Based on these insights, we recommend tailored interventions that include scaling up climate smart agriculture and enhancing financial inclusion in high vulnerability states. In regions identified as emissions hotspots, focus on precision farming and water efficient technologies. For low vulnerability regions, conservation agriculture and agroforestry can play a key role. This framework offers data driven study for designing region specific strategies that simultaneously support India’s decarbonization efforts and strengthen agricultural resilience, thereby ensuring inclusive pathway to achieve net zero emissions. © The Author(s). This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution and reproduction in any medium, provided the original author and source are credited (https://creativecommons.org/licenses/by/4.0/)
";"Explicitly assesses  climate neutrality target ?  (Population); ";;"Explicitly assesses at least one  sector ?  (Population); ";" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;"Carbon transfer characteristics and its effect on carbon neutrality of China's inter-regional trade
";"Zhang, K.; He, L.; Lu, H.";2023;"Shengtai Xuebao
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164507511&doi=10.5846%2Fstxb202108082170&partnerID=40&md5=310c838e112e6b4c293d8a5ae593d7e6
";"10.5846/stxb202108082170
";"Human activities lead to global climate change, such as the greenhouse effect, heat island effect, global warming, glacier melting, sea-level rise, and so on. Among them, the global warming caused by the increase of greenhouse gas emissions has a great impact on human production and life. To control greenhouse gas emissions, many countries are exploring various ways to reduce carbon emissions, and hope to achieve the goal of ""carbon neutrality"" in the planned time. China is also one of them, our country has formulated a medium-and long-term plan to achieve carbon neutrality and is exploring ways to achieve this goal, such as adjusting the industrial and energy consumption structure, and changing the way of production and life. With the development of China's economy, regional trade interactions are frequent, and reducing carbon emissions through optimizing trade patterns should not be ignored. However, such studies are relatively few at present, and the carbon-neutral characteristics of trade in each province are not clear yet. This paper, based on the multi-regional input-output model, carbon-neutral model, and carbon ecological footprint model, analyzed the spatial distribution of carbon footprint, carbon transfer characteristics, and carbon ecological carrying capacity surplus of 30 Chinese provinces in 2017. Our results show that (1) provinces with larger populations or richer economies have larger carbon footprints, such as Guangdong, Jiangsu, and Henan, while in the provinces of western and northeastern China, the carbon footprints of 10000 yuan GDP are relatively larger. Virtual carbon is mainly transferred to economically affluent provinces. (2) For different provinces and sectors, the carbon-neutral characteristics of trade vary considerably. For the provinces, the trade reduced the carbon footprint in Shanxi, Inner Mongolia, Liaoning, Ningxia, and Xingjiang, but the degree of carbon neutrality is relatively low (< 20%). As far as the sectors are concerned, the carbon-neutral feature of the construction sector is the most obvious, especially in the northeastern. (3) There are significant differences in the surplus of carbon ecological carrying capacity among provinces. Specifically, the regions with larger carbon ecological carrying capacity surplus are mainly distributed in the agricultural developed provinces, such as Heilongjiang, Henan, Jilin, Shandong, and so on (>10x 108 t), while Beijing, Tianjin, Shanghai, Zhejiang, Fujian, and Guangdong are in deficit. In the future, when formulating relevant policies, we should comprehensively consider the characteristics of inter-provincial carbon transfer, reasonably allocate carbon emission quota, and ensure the smooth operation of the carbon emission trading market. © 2023 Science Press. All rights reserved.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mMulti-regional input-output model is used. Sectors are involved. But it is not clear at which level of aggregation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Biomass yield potential on U.S. marginal land and its contribution to reach net-zero emission
";"He, Y.; Jaiswal, D.; Long, S.P.; Liang, X.-Z.; Matthews, M.L.";2024;"GCB Bioenergy
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182597839&doi=10.1111%2Fgcbb.13128&partnerID=40&md5=6550ad55602c0d42b1622429903cf6a8
";"10.1111/gcbb.13128
";"Bioenergy with carbon capture and geological storage (BECCS) is considered one of the top options for both offsetting CO2 emissions and removing atmospheric CO2. BECCS requires using limited land resources efficiently while ensuring minimal adverse impacts on the delicate food-energy-water nexus. Perennial C4 biomass crops are productive on marginal land under low-input conditions avoiding conflict with food and feed crops. The eastern half of the contiguous U.S. contains a large amount of marginal land, which is not economically viable for food production and liable to wind and water erosion under annual cultivation. However, this land is suitable for geological CO2 storage and perennial crop growth. Given the climate variation across the region, three perennials are major contenders for planting. The yield potential and stability of Miscanthus, switchgrass, and energycane across the region were compared to select which would perform best under the recent (2000–2014) and future (2036–2050) climates. Miscanthus performed best in the Midwest, switchgrass in the Northeast and energycane in the Southeast. On average, Miscanthus yield decreased from present 19.1 t/ha to future 16.8 t/ha; switchgrass yield from 3.5 to 2.4 t/ha; and energycane yield increased from 14 to 15 t/ha. Future yield stability decreased in the region with higher predicted drought stress. Combined, these crops could produce 0.6–0.62 billion tonnes biomass per year for the present and future. Using the biomass for power generation with CCS would capture 703–726 million tonnes of atmospheric CO2 per year, which would offset about 11% of current total U.S. emission. Further, this biomass approximates the net primary CO2 productivity of two times the current baseline productivity of existing vegetation, suggesting a huge potential for BECCS. Beyond BECCS, C4 perennial grasses could also increase soil carbon and provide biomass for emerging industries developing replacements for non-renewable products including plastics and building materials. © 2024 The Authors. GCB Bioenergy published by John Wiley & Sons Ltd.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;"Spatial correlation network structure and motivation of carbon emission efficiency in planting industry in the Yangtze River Economic Belt
";"Ji, X.-Q.; Zhang, Y.-S.";2023;"Journal of Natural Resources
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018946663&doi=10.31497%2Fzrzyxb.20230308&partnerID=40&md5=67972bede44793b4f977a2320eff9890
";"10.31497/zrzyxb.20230308
";"Based on the data of 11 provincial-level regions in the Yangtze River Economic Belt (YREB), this paper uses the undesired output SBM model to measure the carbon emission efficiency of planting industry, constructs the spatial correlation network through the modified gravitational model, applies the social network analysis method to analyze the spatial correlation network structure, and uses the QAP model to examine the driving factors of the spatial correlation network. The research shows that: (1) The carbon emission efficiency of planting industry in the YREB is improved rapidly, the overall efficiency value reaches a high level, but there is still some room for improvement, and the gap still exists between provincial- level regions. Moreover, the spatial effect of the carbon emission efficiency of planting industry in the YREB breaks the traditional spatial geographical proximity and presents complex spatial network characteristics. (2) During the study period, the correlation and structure stability of the spatial nnetwork of carbon emission efficiency of planting industry in the YREB showed an overall growing trend. During this period, the spatial correlation network evolved from the unipolar dominance of Shanghai to the multi- center collaborative development pattern of Jiangsu, Zhejiang, Guizhou and Shanghai. (3) Farmer per capita income, transportation level, spatial proximity relationship, science and technology level, and government agriculture attention level have an important influence on the spatial correlation network of carbon emission efficiency of planting industry in the YREB. It is suggested that when improving the carbon emission efficiency of the planting industry in the YREB, we should consider the spatial association network structure and its driving factors, and take measures to enhance the spatial correlation of the carbon emission efficiency of the planting industry. © 2023 Science Press. All rights reserved.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Spatiotemporal Evolution Characteristics and Influencing Factors of Carbon Emissions from Construction Industry in Western China
";"Zhang, X.-S.; Nie, D.-W.; Chen, Z.-Z.; Wang, R.-Z.; Su, J.";2025;"Huanjing Kexue/Environmental Science
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016092837&doi=10.13227%2Fj.hjkx.202408170&partnerID=40&md5=db29cb33074448f38a2dc26426b2d5ee
";"10.13227/j.hjkx.202408170
";"As the second largest source of carbon emissions in China and the industry with the greatest emission reduction potential， the construction industry is an important industry through which to achieve the goal of“ double carbon”. Systematic studies on the carbon emission of the construction industry in western China are scarce and fail to reveal the characteristics of spatiotemporal evolution and the nonlinear relationship between complex factors completely. Firstly， the Slope value， Theil index， Moran's I index， and gravity shift model were applied to explore the spatial and temporal patterns and carbon emission changes from the construction sector in the western area of China during the period from 2003 to 2022. Then， the random forest model and SHAP method were used to identify the key factors affecting carbon emissions within this sector. The study produced several important results： ① Carbon emissions in the construction sector in the western region show a clear upward trend and significant regional differences. The average annual contribution rate within the region is 70.8%， which is much higher than the inter-regional contribution rate of 29.2%， and the average contribution rate in the southwest region is 54.7%. ② The mean value of the global Moran's I index of carbon emissions is 0.141， and all values pass the 90% test. There is a spatial autocorrelation， and the local areas show a trend of“ high-high concentration” and“ low-low concentration”. ③ The carbon emission center of gravity fluctuated within a small range in the border area of Sichuan， Gansu， and Shaanxi provinces， and there was a cyclical swing trend. ④ The urbanization rate， year-end permanent resident population， added value of the construction industry， and added value of the tertiary industry have a notable influence on carbon emissions in the construction sector. In consideration of the above results， this study recommends taking effective actions in five key areas： enhance coordinated carbon emission management across regions， guide the rational flow of population and industrial optimization， promote green buildings and low-emission technologies， enhance the development strategy of the urbanization and construction sector， and foster coordinated growth of the service and construction industries. These measures will help mitigate the increase in carbon emissions in the construction sector of western China and support the sustainable development of the regional economy. © (2025), (Science Press). All rights reserved.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
